iteration_id,step_index,scenario_id,context_id,space,time,action,selected_reaction,immediate_or_delayed,known_fragments,trust,curiosity,tension,notes
1,1,Scenario_08_Object_Not_Enough,Space_A_Morning,Space_A,Morning,Action_Present_Evidence,Reaction_Fragment_Relevant_NotEnough,immediate,,0.2,0.4,0.6,"The fragment matters here, but not yet enough. [low-privacy]"
1,2,Scenario_08_Object_Not_Enough,Space_A_Morning,Space_A,Morning,Action_Ask,Reaction_No_Open,immediate,,0.2,0.4,0.6,Nothing opens at this time. [low-privacy]
1,3,Scenario_08_Object_Not_Enough,Space_A_Morning,Space_A,Morning,Action_Return_Later,Reaction_Delayed_Shift,immediate,,0.2,0.38,0.6,"This action changes later availability. [low-privacy, return-later]"
2,1,Scenario_04_Context_Shift_Privacy,Space_B_Evening,Space_B,Evening,Action_Test_Boundary,Reaction_Risk_Pushback,immediate,Topic_1,0.5,0.5,0.5,The response hardens after boundary pressure. [low-privacy]
2,2,Scenario_04_Context_Shift_Privacy,Space_B_Evening,Space_B,Evening,Action_Observe,Reaction_New_Observation,immediate,Fragment_1;Topic_1,0.42,0.5,0.6,A new observation is recorded. [low-privacy]
2,3,Scenario_04_Context_Shift_Privacy,Space_B_Evening,Space_B,Evening,Action_Ask,Reaction_Context_Aligned,immediate,Fragment_1;Topic_1,0.42,0.6799999999999999,0.6,Timing and context align; response quality improves. [low-privacy]
3,1,Scenario_03_Right_Action_No_Fragment,Space_B_Evening,Space_B,Evening,Action_Ask,Reaction_Fragment_Relevant_NotEnough,immediate,,0.2,0.4,0.6,"The fragment matters here, but not yet enough. [low-privacy]"
3,2,Scenario_03_Right_Action_No_Fragment,Space_B_Evening,Space_B,Evening,Action_Observe,Reaction_New_Observation,immediate,Fragment_1,0.2,0.4,0.6,A new observation is recorded. [low-privacy]
3,3,Scenario_03_Right_Action_No_Fragment,Space_B_Evening,Space_B,Evening,Action_Ask,Reaction_Context_Aligned,immediate,Fragment_1,0.2,0.58,0.6,Timing and context align; response quality improves. [low-privacy]
4,1,Scenario_09_Return_Later_Changes_Result,Space_B_Night,Space_B,Night,Action_Ask,Reaction_Context_Aligned,immediate,Fragment_1;Topic_1,0.7,0.6,0.3,Timing and context align; response quality improves. [night]
4,2,Scenario_09_Return_Later_Changes_Result,Space_B_Night,Space_B,Night,Action_Return_Later,Reaction_Delayed_Shift,immediate,Fragment_1;Topic_1,0.76,0.6,0.3,"This action changes later availability. [night, return-later]"
4,3,Scenario_09_Return_Later_Changes_Result,Space_B_Night,Space_B,Night,Action_Ask,Reaction_Context_Aligned,delayed,Fragment_1;Topic_1,0.76,0.6,0.3,Timing and context align; response quality improves. [night]
5,1,Scenario_06_Repeated_Action_Fatigue,Space_A_Morning,Space_A,Morning,Action_Ask,Reaction_No_Open,immediate,Fragment_2,0.2,0.4,0.6,Nothing opens at this time. [low-privacy]
5,2,Scenario_06_Repeated_Action_Fatigue,Space_A_Morning,Space_A,Morning,Action_Ask,Reaction_No_Open,immediate,Fragment_2,0.2,0.38,0.6,Nothing opens at this time. [low-privacy]
5,3,Scenario_06_Repeated_Action_Fatigue,Space_A_Morning,Space_A,Morning,Action_Ask,Reaction_No_Open,immediate,Fragment_2,0.2,0.36,0.6,Nothing opens at this time. [low-privacy]
6,1,Scenario_07_Object_Helps,Space_B_Night,Space_B,Night,Action_Present_Evidence,Reaction_Evidence_Helps,immediate,Fragment_1,0.5,0.5,0.5,A presented clue makes the response more specific. [night]
6,2,Scenario_07_Object_Helps,Space_B_Night,Space_B,Night,Action_Ask,Reaction_Context_Aligned,immediate,Fragment_1,0.5700000000000001,0.54,0.5,Timing and context align; response quality improves. [night]
6,3,Scenario_07_Object_Helps,Space_B_Night,Space_B,Night,Action_Observe,Reaction_New_Observation,immediate,Fragment_1,0.6300000000000001,0.54,0.5,A new observation is recorded. [night]
7,1,Scenario_10_Memory_Log_Changes_Followup,Space_A_Evening,Space_A,Evening,Action_Observe,Reaction_New_Observation,immediate,Fragment_1;Topic_1,0.5,0.5,0.5,A new observation is recorded.
7,2,Scenario_10_Memory_Log_Changes_Followup,Space_A_Evening,Space_A,Evening,Action_Ask,Reaction_Context_Aligned,immediate,Fragment_1;Topic_1,0.5,0.6799999999999999,0.5,Timing and context align; response quality improves.
7,3,Scenario_10_Memory_Log_Changes_Followup,Space_A_Evening,Space_A,Evening,Action_Present_Evidence,Reaction_Fragment_Relevant_NotEnough,immediate,Fragment_1;Topic_1,0.56,0.6799999999999999,0.5,"The fragment matters here, but not yet enough."
8,1,Scenario_05_Delayed_Reaction,Space_A_Evening,Space_A,Evening,Action_Return_Later,Reaction_Delayed_Shift,immediate,Fragment_2,0.7,0.6,0.3,This action changes later availability. [return-later]
8,2,Scenario_05_Delayed_Reaction,Space_A_Evening,Space_A,Evening,Action_Ask,Reaction_Context_Aligned,delayed,Fragment_2,0.7,0.6,0.3,Timing and context align; response quality improves.
